de,La nuit était sombre et froide.
de,"Les grands arbres de la forêt de Saint-Germain, secoués par le vent d'automne, craquaient en inclinant leurs cimes sur une route étroite et profondément encaissée."
de,"Par moments, une rafale plus forte chassait les nuages et la lune brillait à travers les feuilles."
ot,On entrevoyait alors au fond du chemin creux un véhicule de forme étrange.
de,"Ce n'était pas une voiture, et ce n'était pas une charrette."
ot,"Cela roulait cependant, car un bruit aigre de roues mal graissées se détachait sur le grondement sourd de l'orage qui passait dans les hautes branches."
de,L'objet avait la forme d'une longue caisse surmontée d'un tuyau en fonte et percée d'ouvertures latérales.
de,"On eût dit une maison ambulante, et cette maison devait être habitée, car il s'en échappait des jets de lumière dont le reflet éclairait le taillis à droite et à gauche."
de,Le ravin pierreux que suivait ce logis voyageur tournait brusquement auprès d'un bouquet de vieux chênes et s'élevait ensuite par une pente assez raide.
na,"Au bas de cette montée il y eut un temps d'arrêt, suivi du bruit sec et cadencé des sabots d'un cheval martelant les cailloux, puis le bizarre équipage, qui venait sans doute de rencontrer une ornière imprévue, s'inclina comme un navire surpris par un grain et resta accoté sur une énorme souche plantée là fort à propos pour l'empêcher de chavirer tout à fait."
sp,"-- Mille trompettes ! cria une voix rauque qui sortait des profondeurs de la carriole échouée au bord du fossé, la brute vient de nous verser !"
na,"À cette exclamation, un gémissement lamentable répondit de l'avant du véhicule, mais rien ne bougea."
na,"Évidemment, le cocher renonçait à relever l'animal qui venait de s'abattre et qui semblait prendre son parti de sa chute, car il se contentait de souffler bruyamment, sans se livrer à des efforts inutiles."
sp,"-- Alcindor ! hurla la voix enrouée, m'entends-tu, propre à rien ?"
na,"En même temps, l'arrière de l'épave s'ouvrit avec violence, un homme sauta à terre et courut à l'attelage."
na,"Il tenait de la main gauche une lanterne qu'il mit sous le nez du conducteur, et de la droite une longue baguette avec laquelle il commença à lui cingler les jambes."
na,L'effet de ces deux mouvements ne se fit pas attendre.
na,"Le cocher recula d'abord, ébloui par la lumière, mais, dès qu'il sentit les coups, il lâcha les rênes et se jeta de l'autre côté du brancard."
ot,"Il ne semblait, du reste, ni trop effrayé, ni même trop surpris, car il s'assit sur le revers du fossé et mit ses mains dans ses poches comme un homme blasé sur les corrections."
de,C'était un garçon efflanqué dont le buste trop court reposait sur des jambes interminables.
de,"Il avait de longs cheveux d'une nuance vague qui se rapprochait sensiblement du jaune, une face blême et imberbe, un nez pointu et des yeux gris à fleur de tête."
de,L'expression dominante de sa physionomie était la résignation mêlée d'un certain enthousiasme contenu.
de,"Un observateur aurait deviné sous ce masque abruti un illuminé dissimulant ses rêveries ou un inventeur, honteux de ses découvertes."
de,"Quant à son costume, il était simple, mais saugrenu."
de,Des guêtres jadis blanches enveloppaient ses maigres tibias fâcheusement terminés par d'immenses pieds chaussés de galoches en cuir.
de,"Sur ses épaules osseuses flottait une vareuse trop large dont la coupe rappelait la souquenille des valets de la comédie classique, et son chef était coiffé d'une casquette plate et pointue qui avait dû figurer dans « la Tour de Nesle » sur la tête de quelque Buridan de province."
de,"Cet être grotesque était visiblement jeune, malgré son apparence vieillotte."
na,"Son maître, l'homme qui venait de s'élancer de la carriole engravée, formait avec lui un contraste vivant."
de,"Trapu, crépu et surtout basané, il réalisait le type complet d'un hercule de foire."
de,"Ses vigoureux biceps et ses mollets énormes se dessinaient en relief sous son pantalon de velours à côtes ; mais, par une anomalie bizarre, ses traits réguliers et fades, décelaient une absence totale d'énergie."
de,Il y avait dans sa mise vulgaire et dans ses épais favoris soigneusement peignés je ne sais quoi d'ordonné qui lui donnait l'air d'un comptable déguisé en athlète.
ot,"Cet alcide bourgeois s'était croisé les bras et contemplait d'un air tragique le grand dadais aux cheveux couleur de filasse et la bête agenouillée, maigre rosse au poil gris qui broutait philosophiquement l'herbe du chemin."
na,"Mais son silence menaçant ne fut pas de longue durée, et il reprit ses objurgations avec cet organe éraillé qui est particulier aux orateurs accoutumés à parler en plein vent."
sp," -- Fainiant ! grommela-t-il en brandissant sa redoutable baguette, comment t'y es-tu pris pour jeter la boîte dans un trou, sur une route macadamisée, au beau milieu d'une forêt impériale ? "
sp,"» Tu dormais, c'est sûr, tu dormais comme un grand lâche que tu es !"
sp,"-- Patron, répondit le malencontreux cocher d'une voix lente et monotone, pour ce qui est d'avoir dormi, je ne le nie pas."
sp,"» Le sommeil est un besoin de l'organisme humain qui est toujours proportionnel à l'âge du sujet, et comme je termine mon vingt-sixième été, j'ai droit à un minimum de huit heures de repos."
sp,"» Or, nous avons quitté le champ de foire de Poissy sur le coup de minuit, et si j'en juge par la position de la Grande Ourse relativement au zénith, il doit être environ six heures du matin."
sp,» Je suis donc en règle vis-à-vis de la nature.
sp,"-- Tu n'y es pas vis-à-vis de moi, méchant paillasse, interrompit l'homme barbu, et je ne te paie pas pour dormir."
