freq,mot,pos
1050561,le,dét
862100,de,prép
419564,un,dét
351960,être,verbe
362093,et,conj
293083,à,prép
270395,il,pron
248488,avoir,verbe
186755,ne,adv
184186,je,pron
181161,son,dét
176161,que,conj
168684,se,pron
148392,qui,pron
141389,ce,dét
139185,dans,prép
143565,en,prép
127384,du,dét
126397,elle,pron
123502,au,dét
119106,de,dét
107074,ce,pron
105873,le,pron
104779,pour,prép
103083,pas,adv
99412,que,pron
89623,vous,pron
82277,par,prép
80180,sur,prép
77608,faire,verbe
75499,plus,adv
72134,dire,verbe
71086,me,pron
70246,on,pron
70121,mon,dét
65988,lui,pron
62554,nous,pron
59902,comme,conj
57690,mais,conj
55394,pouvoir,verbe
55081,avec,prép
47221,tout,adj
46031,y,pron
41702,aller,verbe
39659,voir,verbe
38935,en,pron
37171,bien,adv
36089,où,pron
35915,sans,prép
35774,tu,pron
34897,ou,conj
33950,leur,dét
33202,homme,subst
32024,si,adv
30211,deux,numér
30082,mari,subst
30053,moi,pron
29435,vouloir,verbe
28542,te,pron
26148,femme,subst
26023,venir,verbe
25592,quand,conj
25388,grand,adj
24270,celui,pron
24024,si,conj
23883,notre,dét
22703,devoir,verbe
22695,là,adv
22232,jour,subst
20489,prendre,verbe
19994,même,adv
19942,votre,dét
19915,tout,adv
19379,rien,pron
19008,petit,adj
19176,encore,adv
18311,aussi,adv
17953,quelque,dét
17797,dont,pron
17486,tout,pron
17166,mer,subst
16833,trouver,verbe
16795,donner,verbe
16785,temps,subst
16494,ça,pron
16251,peu,adv
16081,même,adj
16078,falloir,verbe
15944,sous,prép
15814,parler,verbe
15639,alors,adv
15540,main,subst
15524,chose,subst
15513,ton,dét
15339,mettre,verbe
15241,vie,subst
15102,savoir,verbe
14981,yeux,subst
14976,passer,verbe
14688,autre,adj
14606,après,prép
14604,regarder,verbe
14336,toujours,adv
14257,puis,conj
14255,jamais,adv
14253,cela,pron
14138,aimer,verbe
14039,non,adv
13940,heure,subst
13881,croire,verbe
13798,cent,numér
13737,monde,subst
13562,donc,conj
13348,enfant,subst
13191,fois,subst
13104,seul,adj
13063,autre,pron
13684,entre,prép
12781,vers,prép
12698,chez,prép
12597,demander,verbe
12593,jeune,adj
12465,jusque,prép
12432,très,adv
12274,moment,subst
12155,rester,verbe
12063,répondre,verbe
12051,tout,dét
11999,tête,subst
11854,père,subst
11842,fille,subst
11758,mille,numér
11731,premier,adj
11695,car,conj
12009,entendre,verbe
11640,ni,conj
11483,bon,adj
11372,trois,numér
11312,cœur,subst
11296,ainsi,adv
11274,an,subst
10970,quatre,numér
10941,un,pron
10786,terre,subst
10692,contre,prép
10661,dieu,subst
10489,monsieur,subst
10469,voix,subst
10358,penser,verbe
10343,quel,adj
10288,arriver,verbe
10287,maison,subst
9995,devant,prép
9991,coup,subst
9870,beau,adj
9769,connaître,verbe
9759,devenir,verbe
9755,air,subst
9752,mot,subst
9694,nuit,subst
9585,sentir,verbe
9603,eau,subst
9515,vieux,adj
9482,sembler,verbe
9472,moins,adv
9312,tenir,verbe
9098,ici,adv
9037,comprendre,verbe
9005,oui,adv
9002,rendre,verbe
8997,toi,pron
8920,vingt,numér
8907,depuis,prép
